State,Unique African American Representatives (Pre-1900),Unique African American Representatives (1901–1960),Unique African American Representatives (1961–2020)
Alabama,3,0,3
California,0,0,12
Colorado,0,0,1
Connecticut,0,0,2
Delaware,0,0,1
Florida,1,0,8
Georgia,1,0,9
Illinois,0,3,12
Indiana,0,0,3
Louisiana,1,0,3
Maryland,0,0,6
Massachusetts,0,0,1
Michigan,0,1,8
Minnesota,0,0,2
Mississippi,1,0,2
Missouri,0,0,3
Nevada,0,0,1
New Jersey,0,0,3
New York,0,1,10
North Carolina,4,0,5
Ohio,0,0,4
Oklahoma,0,0,1
Pennsylvania,0,1,4
South Carolina,8,0,2
Tennessee,0,0,2
Texas,0,0,9
Utah,0,0,1
Virginia,1,0,2
Wisconsin,0,0,1
