GIS Join Match Code,NHGIS Integrated State Name,Square Miles,FIPS State Code,BlackPop_1900,BlackPop_1960,BlackPop_2020,sqm_1900,sqm_1960,sqm_2020,change_1900_1960,change_1960_2020
G010,Alabama,52420,1,827307,980271,1296162,16,19,25,0.18,0.24
G020,Alaska,665384,2,168,6771,21898,0,0,0,39.30,0.69
G040,Arizona,113990,4,1848,43403,339150,0,0,3,22.49,0.87
G050,Arkansas,53179,5,366856,388787,453783,7,7,9,0.06,0.14
G060,California,163695,6,11045,883861,2237044,0,5,14,79.02,0.60
G080,Colorado,104094,8,8570,39992,234828,0,0,2,3.67,0.83
G090,Connecticut,5543,9,15226,107449,388675,3,19,70,6.06,0.72
G100,Delaware,2489,10,30697,60688,218899,12,24,88,0.98,0.72
G110,District of Columbia,68,11,86702,411737,285810,1275,6055,4203,3.75,-0.44
G120,Florida,65758,12,230730,880186,3246381,4,13,49,2.81,0.73
G130,Georgia,59425,13,1034813,1122596,3320513,17,19,56,0.08,0.66
G150,Hawaii,10932,15,233,4943,23417,0,0,2,20.21,0.79
G160,Idaho,83569,16,293,1502,15726,0,0,0,4.13,0.90
G170,Illinois,57914,17,85078,1037470,1808271,1,18,31,11.19,0.43
G180,Indiana,36420,18,57505,269275,648513,2,7,18,3.68,0.58
G190,Iowa,56273,19,12693,25354,131972,0,0,2,1.00,0.81
G200,Kansas,82278,20,52003,91445,168809,1,1,2,0.76,0.46
G210,Kentucky,40408,21,284706,215949,362417,7,5,9,-0.24,0.40
G220,Louisiana,52378,22,650804,1039207,1464023,12,20,28,0.60,0.29
G230,Maine,35380,23,1319,3318,25752,0,0,1,1.52,0.87
G240,Maryland,12406,24,235064,518410,1820472,19,42,147,1.21,0.72
G250,Massachusetts,10554,25,31974,111842,494029,3,11,47,2.50,0.77
G260,Michigan,96714,26,15816,717581,1376579,0,7,14,44.37,0.48
G270,Minnesota,86936,27,4959,22263,398434,0,0,5,3.49,0.94
G280,Mississippi,48432,28,907630,915743,1084481,19,19,22,0.01,0.16
G290,Missouri,69707,29,161234,390853,699840,2,6,10,1.42,0.44
G300,Montana,147040,30,1523,1467,5484,0,0,0,-0.04,0.73
G310,Nebraska,77348,31,6269,29262,96535,0,0,1,3.67,0.70
G320,Nevada,110572,32,134,13484,304739,0,0,3,99.63,0.96
G330,New Hampshire,9349,33,662,1903,20127,0,0,2,1.87,0.91
G340,New Jersey,8723,34,69844,514875,1219770,8,59,140,6.37,0.58
G350,New Mexico,121590,35,1610,17063,45904,0,0,0,9.60,0.63
G360,New York,54555,36,99232,1417511,2986172,2,26,55,13.28,0.53
G370,North Carolina,53819,37,624469,1116021,2140217,12,21,40,0.79,0.48
G380,North Dakota,70698,38,286,777,26783,0,0,0,1.72,0.97
G390,Ohio,44826,39,96901,786097,1478781,2,18,33,7.11,0.47
G400,Oklahoma,69899,40,18831,153084,289961,0,2,4,7.13,0.47
G410,Oregon,98379,41,1105,18133,82655,0,0,1,15.41,0.78
G420,Pennsylvania,46054,42,156845,852750,1423169,3,19,31,4.44,0.40
G440,Rhode Island,1545,44,9092,18332,62168,6,12,40,1.02,0.71
G450,South Carolina,32020,45,782321,829291,1280531,24,26,40,0.06,0.35
G460,South Dakota,77116,46,465,1114,17842,0,0,0,1.40,0.94
G470,Tennessee,42144,47,480243,586876,1092948,11,14,26,0.22,0.46
G480,Texas,268596,48,620722,1187125,3552997,2,4,13,0.91,0.67
G490,Utah,84897,49,672,4148,40058,0,0,0,5.17,0.90
G500,Vermont,9616,50,826,519,9034,0,0,1,-0.37,0.94
G510,Virginia,42775,51,660722,816258,1607581,15,19,38,0.24,0.49
G530,Washington,71298,53,2514,48738,307565,0,1,4,18.39,0.84
G540,West Virginia,24230,54,43499,89378,65813,2,4,3,1.05,-0.36
G550,Wisconsin,65496,55,2542,74546,376256,0,1,6,28.33,0.80
G560,Wyoming,97813,56,940,2183,5232,0,0,0,1.32,0.58
